ResponseID,Semester,Year,Term,StudentID,PolicyArea,Question_Column,Question_Short,Response_Text,Response_Length,Word_Count,Original_Row_Index,Question_Category,Response_Text_Clean,Dataset,Date_Extracted,Sentence_Count,Avg_Word_Length
Fall_2022_1,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was a place to see if I’m on the right track,47,12,1,Personal_Meaning,it was a place to see if im on the right track,THM_All_Semesters,2026-02-11 15:44:00.160575,1,3.92
Fall_2022_2,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was cool meeting other people who are working on the same stuff as me,72,15,2,Personal_Meaning,it was cool meeting other people who are working on the same stuff as me,THM_All_Semesters,2026-02-11 15:44:00.160575,1,4.8
Fall_2022_3,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I learned much more about agriculture and water problems/solutions.,67,9,3,Personal_Meaning,i learned much more about agriculture and water problemssolutions,THM_All_Semesters,2026-02-11 15:44:00.160575,2,7.44
Fall_2022_4,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I really enjoyed the comfort I felt in explaining my solution and talking with professionals and getting their opinions.,120,19,4,Personal_Meaning,i really enjoyed the comfort i felt in explaining my solution and talking with professionals and getting their opinions,THM_All_Semesters,2026-02-11 15:44:00.160575,2,6.32
Fall_2022_5,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,it was a meeting where i got to meet other people in my policy area,67,15,5,Personal_Meaning,it was a meeting where i got to meet other people in my policy area,THM_All_Semesters,2026-02-11 15:44:00.160575,1,4.47
Fall_2022_6,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was great to learn about other students ideas on my policy,61,12,6,Personal_Meaning,it was great to learn about other students ideas on my policy,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.08
Fall_2022_7,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Sharing ideas to change the world,33,6,7,Personal_Meaning,sharing ideas to change the world,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.5
Fall_2022_8,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant sharing the policy I've been focused on to my peers and respected adults in my community.,98,18,8,Personal_Meaning,it meant sharing the policy ive been focused on to my peers and respected adults in my community,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.44
Fall_2022_9,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,The town hall meeting was a great opportunity to meet like minded people that had similar thoughts on the same issues.,118,21,9,Personal_Meaning,the town hall meeting was a great opportunity to meet like minded people that had similar thoughts on the same issues,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.62
Fall_2022_10,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was a place to hear first hand the different approaches to a fixed problem. It was really helpful to hear all the different ways people thought of a solution and it even had me rethinking my approach.,203,38,10,Personal_Meaning,it was a place to hear first hand the different approaches to a fixed problem it was really helpful to hear all the different ways people thought of a solution and it even had me rethinking my approach,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.34
Fall_2022_12,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was a fun experience sharing ideas about important issues with people that care as much as I do.,99,19,12,Personal_Meaning,it was a fun experience sharing ideas about important issues with people that care as much as i do,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.21
Fall_2022_13,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Nothing at first. I now see it as a way for people to be able to critique my policy solution and help make it better.,117,25,13,Personal_Meaning,nothing at first i now see it as a way for people to be able to critique my policy solution and help make it better,THM_All_Semesters,2026-02-11 15:44:00.160575,3,4.68
Fall_2022_14,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,i had to educate myself about all the problems in my policy,59,12,14,Personal_Meaning,i had to educate myself about all the problems in my policy,THM_All_Semesters,2026-02-11 15:44:00.160575,1,4.92
Fall_2022_15,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"I was able to learn a lot within my policy, and it brought new ideas and allowed me to see how my thinking was relatively the same to others. It made me feel like I was actually contributing and not just working on something the whole semester for it to be a grade. So it meant a lot, it was a fun experience, I wish I could have heard a little from other policy groups, but overall it was good. Also wish it wasn’t so late though.",431,87,15,Personal_Meaning,i was able to learn a lot within my policy and it brought new ideas and allowed me to see how my thinking was relatively the same to others it made me feel like i was actually contributing and not just working on something the whole semester for it to be a grade so it meant a lot it was a fun experience i wish i could have heard a little from other policy groups but overall it was good also wish it wasnt so late though,THM_All_Semesters,2026-02-11 15:44:00.160575,5,4.95
