Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Town Hall Survey

Informed Consent


Hello Chico Student:


The following online survey is part of an important university study on how to improve students' experiences at the Town Hall Meeting. It will take approximately 5-10 minutes to complete.






















Taking part in this research is completely voluntary. If you choose to participate in this research, it is very important that you answer the questions as thoughtfully and frankly as possible. All your answers will be kept strictly confidential. You can stop participating at any time without penalty to your grade.
We would also like to emphasize that you will NOT be penalized if you choose to omit answers to some questions on the survey. To record your answers, you must proceed all the way through the end of the survey, even if you choose to omit answers to some questions. In addition, proceeding to the very end of the survey will remove any survey response information from the screen on your computer/device, protecting your privacy. 


Your student ID is being collected so we can match your responses to other important university programs (U-Course, Town Hall Meeting, Great Debate) and demographic information. IDs may be used for statistical analysis alongside other data such a GPA, retention, and graduation rates. Again, your answers are strictly confidential, and we are bound by rules of this University to maintain this confidentiality. Your information collected as part of this research will be stored on a password protected computer in a locked office within the First-Experience Program office and on a protected server that is located behind a secure firewall at the University Office for Institutional Research. You must be 18-years of age or older to take this survey.


Thank you for filling out this survey as completely and honestly as you can. We are asking you to do this because we value your experience and ideas about how to improve students' experiences here at Chico State.


If you'd like more information about this project, contact the First-Year Experience Program office at fye@csuchico.edu or (530) 898-3705.",Please enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,Please re-enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,What was your policy area or expertise?,The moderators effectively facilitated the discussion.,"The
students seemed well prepared for the discussion.","The
discussion among all participants was productive.","The consultants contributed effectively to
the conversation.","The
Town Hall Meeting is useful for sharing student ideas and involving campus and
community members in a discussion of those ideas.","I
would recommend the Town Hall Meeting next semester to others.",What did the Town Hall Meeting mean to you?,What could be improved to make the Town Hall Meeting better?,Why did you take a Town Hall Section of POLS 155?
11/1/2022 11:34,11/1/2022 11:36,IP Address,132.241.17.191,100,106,TRUE,11/1/2022 11:36,R_2qDbFr5xr6hFPcT,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,0,0,,,,,,,,,,
11/3/2022 22:41,11/3/2022 22:43,IP Address,132.241.174.52,100,91,TRUE,11/3/2022 22:43,R_3qWLfr2zhiJJW7s,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11638823,11638823,Climate Change and Environmental Policy,Agree,Agree,Strongly Agree,Agree,Agree,Agree,It was a place to see if I’m on the right track,The entrance time,I didn’t know I did
11/3/2022 22:44,11/3/2022 22:45,IP Address,73.116.73.170,100,105,TRUE,11/3/2022 22:45,R_ysBkbvONxP7JrMd,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,8389005,8389005,Firearm Policy,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,It was cool meeting other people who are working on the same stuff as me,Start on time,I didn’t know there was an option without it
11/3/2022 22:44,11/3/2022 22:46,IP Address,73.235.18.105,100,115,TRUE,11/3/2022 22:46,R_1MW1ngz1IzS3amS,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11376938,11376938,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I learned much more about agriculture and water problems/solutions. ,The check-in process could have a different allotted time. ,I truthfully didn’t know it had Town Hall. 
11/3/2022 22:45,11/3/2022 22:47,IP Address,107.127.14.41,100,105,TRUE,11/3/2022 22:47,R_1dyNqUuxZQn9Dql,,,,,37.6736,-122.0944,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11377848,11377848,Cost of Living and Poverty Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I really enjoyed the comfort I felt in explaining my solution and talking with professionals and getting their opinions. , Better efficiency with signing in,I thought it sounded fun
11/3/2022 22:45,11/3/2022 22:47,IP Address,132.241.174.18,100,127,TRUE,11/3/2022 22:47,R_1gU4XTFqf4rNu8F,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11713924,11713924,Immigration Policy,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,it was a meeting where i got to meet other people in my policy area ,time management and lines,because i was intrested in town hall
11/3/2022 22:46,11/3/2022 22:47,IP Address,172.58.36.102,100,102,TRUE,11/3/2022 22:47,R_tS7ekXwfBcxTOWl,,,,,38.4799,-121.4451,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10431643,10431643,Climate Change and Environmental Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was great to learn about other students ideas on my policy ,More volunteers ,I was interested in it 
11/3/2022 22:46,11/3/2022 22:47,IP Address,107.77.212.102,100,97,TRUE,11/3/2022 22:47,R_2QEanAQZseduftU,,,,,37.8994,-122.1144,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10231781,10231781,,Agree,Agree,Agree,Agree,Agree,Agree,Sharing ideas to change the world ,Faster sign in,It was a requirement 
11/3/2022 22:44,11/3/2022 22:48,IP Address,73.235.32.106,100,235,TRUE,11/3/2022 22:48,R_12MhxDijusx1zyJ,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11695048,11695048,Drug Policy,Agree,Agree,Agree,Agree,Agree,Disagree,It meant sharing the policy I've been focused on to my peers and respected adults in my community. ,"Better organized, I felt disappointed in how unsmoothly it ran for me and my room. We weren't sure what was really happening along with we didn't receive the worksheet necessary at the first breakout. I was just confused. ",Because it is fulfilled credits I needed and I had positive feedback from friends who had taken the course. 
11/3/2022 22:45,11/3/2022 22:49,IP Address,73.66.23.95,100,229,TRUE,11/3/2022 22:49,R_zUQQJmk4d63mI7v,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11076482,11076482,Drug Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The town hall meeting was a great opportunity to meet like minded people that had similar thoughts on the same issues.,A bit more organization at the entrance of the meeting would have been nice.,I did not really have a reason behind doing so. 
11/3/2022 22:44,11/3/2022 22:49,IP Address,132.241.174.50,100,294,TRUE,11/3/2022 22:49,R_eu0onjd3WufShvX,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11449556,11449556,Healthcare Policy,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,It was a place to hear first hand the different approaches to a fixed problem. It was really helpful to hear all the different ways people thought of a solution and it even had me rethinking my approach.,"More time management, we went a bit off schedule  ",Seemed new and fun
11/3/2022 22:46,11/3/2022 22:49,IP Address,73.220.194.200,100,228,TRUE,11/3/2022 22:49,R_yF71mKykUqQ5hi9,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11083333,11083333,Cost of Living and Poverty Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,It was a sharing of ideas,I don’t know what happened at the beginning with getting people in and starting late but that was the only issue I really saw.,To be completely honest I did not know that I did but I am glad I had.
11/3/2022 22:44,11/3/2022 22:50,IP Address,98.208.44.190,100,313,TRUE,11/3/2022 22:50,R_1joKgs6fRasU2d1,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11362963,11362963,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was a fun experience sharing ideas about important issues with people that care as much as I do. ,I’m honestly not sure. It was a good experience. ,I switched in last minute. 
