Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Town Hall Survey

Informed Consent


Hello Chico Student:


The following online survey is part of an important university study on how to improve students' experiences at the Town Hall Meeting. It will take approximately 5-10 minutes to complete.






















Taking part in this research is completely voluntary. If you choose to participate in this research, it is very important that you answer the questions as thoughtfully and frankly as possible. All your answers will be kept strictly confidential. You can stop participating at any time without penalty to your grade.
We would also like to emphasize that you will NOT be penalized if you choose to omit answers to some questions on the survey. To record your answers, you must proceed all the way through the end of the survey, even if you choose to omit answers to some questions. In addition, proceeding to the very end of the survey will remove any survey response information from the screen on your computer/device, protecting your privacy. 


Your student ID is being collected so we can match your responses to other important university programs (U-Course, Town Hall Meeting, Great Debate) and demographic information. IDs may be used for statistical analysis alongside other data such a GPA, retention, and graduation rates. Again, your answers are strictly confidential, and we are bound by rules of this University to maintain this confidentiality. Your information collected as part of this research will be stored on a password protected computer in a locked office within the First-Year Experience Program office and on a protected server that is located behind a secure firewall at the University Office for Institutional Research. You must be 18-years of age or older to take this survey.


Thank you for filling out this survey as completely and honestly as you can. We are asking you to do this because we value your experience and ideas about how to improve students' experiences here at Chico State.


If you'd like more information about this project, contact the First-Year Experience Program office at fye@csuchico.edu or (530) 898-3705.",Please enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,Please re-enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,What was your policy area or expertise?,The moderators effectively facilitated the discussion.,"The
students seemed well prepared for the discussion.","The
discussion among all participants was productive.","The consultants contributed effectively to
the conversation.",The Town Hall Meeting is useful for sharing ideas and involving campus and community members in a discussion of those ideas.,"I
would recommend the Town Hall Meeting next semester to others.",What did the Town Hall Meeting mean to you?,What was your biggest takeaway from your Breakout room discussion?,Which three action stations did you choose to do at the Action Symposium?,"Which, if any, of the action stations did you want to participate in but were not able to?","In preparation for the Town Hall Meeting, I feel an increased connection to Chico State and larger Chico community.","In participating in the Town Hall Meeting event, I feel an increased connection to Chico State and larger Chico community.","In preparation for the Town Hall Meeting, I feel that my confidence in my academic ability increased.","In participating in the Town Hall Meeting event, I feel that my confidence in my academic ability increased.","In preparation for the Town Hall Meeting, I have increased my confidence and ability to affect change in my community.","In participating in the Town Hall Meeting event, I have increased my confidence and ability to affect change in my community.","In preparation for the Town Hall Meeting, I have increased my confidence and ability to affect change in my community.","Because of my participation in the Town Hall Meeting event, I feel more likely to succeed in future courses.",Knowing I was participating in the Town Hall Meeting event changed my approach to my POLS 155 coursework.,What could be improved to make the Town Hall Meeting better?,Why did you take a Town Hall Section of POLS 155?
4/6/2023 13:49,4/6/2023 13:53,IP Address,132.241.174.38,100,206,TRUE,4/6/2023 13:53,R_1LApuiC16wDVMpR,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,123456789,123456789,Climate Change and Environmental Policy,,,,,,,,,,,,,,,,,,,,,
4/6/2023 22:05,4/6/2023 22:12,IP Address,132.241.174.212,100,421,TRUE,4/6/2023 22:12,R_5dQkvF30cJoR74R,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11363457,11363457,Firearm Policy,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,It symbolized a night towards the end of the semester that was the collmanation of all the research I had done. It also gave me an opportunity to talk with my peers about how our solutions could actually be implemented into legislation. ,"That it is hard to grt everyone to agree on one topic when it comes to firearms, but making compromises can be effective.","Lobbying government officials,Petition,Organize a public demonstration","Elect supportive public officials,A letter to a government official",Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Nothing I can think off,Because it was the only POLS 155 that fit into my schedule.
4/6/2023 22:09,4/6/2023 22:19,IP Address,132.241.174.178,100,590,TRUE,4/6/2023 22:19,R_ROkH4lwy5sOdEGZ,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11674820,11674820,Cost of Living and Poverty Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The Town Hall Meeting allowed me to realize all the problems that our world faces and how so many people care about these topics. ,My biggest takeaway from my breakout room discussion was that there are so many factors that go into the cost of living that will take a long time to be solved. ,"Lobbying government officials,Elect supportive public officials,Organize a public demonstration",Social media for digital advocacy,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,I wish we could learn more in depth about other topics that were in the town hall meeting. ,I took this section because I knew past students that took it and said how the Town Hall Meeting was eye opening and allowed for them to have a better understanding of there communities. 
4/6/2023 22:11,4/6/2023 22:22,IP Address,107.127.14.142,100,655,TRUE,4/6/2023 22:22,R_2b4d6pcGLENQM4d,,,,,38.581,-121.4939,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11635404,11635404,LGBTQIA+ Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was really amazing how many people talked about similar policy issues and their ideas ,"Education needs to be reformed, but the main obstacle are parents and their willingness to be educated about lgbt+ issues ","Petition,Organize a public demonstration,A letter to a government official","Lobbying government officials,Social media for digital advocacy,Elect supportive public officials",Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,"It was required, but after attending the town hall meeting I’m really glad I did. "
4/6/2023 23:25,4/6/2023 23:33,IP Address,71.193.30.20,100,457,TRUE,4/6/2023 23:33,R_AoKhGNzypCoFNct,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,5128683,5128683,Drug Policy,Agree,Agree,Agree,Agree,Agree,Agree,"Sharing ideas and information, collaborating with others to discuss policy topics we were passionate about.",This one girl shared about how psychedelics are still classified as having no medicinal value. She seemed very prepared and passionate about her subject and provided lots of information about how and why they can be helpful for purposes of recovery.,"Lobbying government officials,Social media for digital advocacy,A letter to a government official",,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,I would have liked to talk more with the consultants. It kind of seemed like a scramble at the end and everyone was just trying to visit their 3 stations and fill out their paper.,"GE requirement, didn't really know there was a POLS section without Town Hall."
4/7/2023 4:51,4/7/2023 4:57,IP Address,73.220.218.10,100,351,TRUE,4/7/2023 4:57,R_1ex9hn3sKJIUds0,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10826648,10826648,LGBTQIA+ Policy,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,"Petition,Organize a public demonstration,A letter to a government official",,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,,
4/7/2023 9:43,4/7/2023 9:47,IP Address,75.4.39.125,100,241,TRUE,4/7/2023 9:47,R_ykdLxGteqlDqpaN,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10051965,10051965,LGBTQIA+ Policy,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,It was a place where I was able to ask my sderious questions to consultants and professionals who would give me a detailed answer,The Lgbtqia+ community has had enough! They are very angry about their topics.,"Write a letter to the editor,Petition,Organize a public demonstration",A letter to a government official,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Have the action symposium a bit more organized, at the end It felt more like checking boxes by listening to people rather than applying my policy topic, but it was still useful.",Required
4/7/2023 10:06,4/7/2023 10:10,IP Address,132.241.174.44,100,273,TRUE,4/7/2023 10:10,R_1jiXApXK4CTWlFl,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11783565,11783565,Housing and Homelessness Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was a nice way to receive different perspectives on my policy topic.,That there are many different ways to approach housing and homelessness,"Lobbying government officials,Write a letter to the editor,Organize a public demonstration",,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Maybe more food and water for students,I had to... 
4/7/2023 10:12,4/7/2023 10:31,IP Address,132.241.174.153,100,1184,TRUE,4/7/2023 10:31,R_3xAnwZVl2Af9Ebf,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11512801,11512801,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,The Town Hall Meeting allowed me to become better educated on a topic that is very important to me as a woman living in the United States. It also gave me the opportunity to meet with others who also find this topic important and we were all able to share our own stories as to why it is important to us.,My biggest takeaway from my Breakout room discussion was that there is so much more to the policy topic of Reproductive Health. One of the moderators shared her story and it made us all realize that there are so many stories like hers that are untold and that need to be told in order to fight for reproductive rights in this country.,"Social media for digital advocacy,Organize a public demonstration,A letter to a government official","Write a letter to the editor,Petition",Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,"Something that could be done to make the Town Hall Meeting better is when it was time to attend the action symposium, it was confusing to see which table was talking about which action. If there were bigger signs to signal which table was which or if they were grouped in one section, it think it would be easier to navigate in the future.",I took a Town Hall Section of POLS 155 because it was the one that better fit my schedule and it sounded interesting.
4/7/2023 11:01,4/7/2023 11:09,IP Address,132.241.174.224,100,510,TRUE,4/7/2023 11:09,R_2uVcpmwA8fxxVcP,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11158590,11158590,Healthcare Policy,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Getting to understand other peoples opinions and ideas when it comes to making solutions towards healthcare whether it’s insurance plans, funds, and eligibility.","My biggest take away would be how many people weren’t aware of the single pair healthcare, there are so many benefits that many people don’t know about. Many legislators and officials have made many attempts at getting this healthcare the green light it needs to go into affect, however, each attempt has been stopped because the government doesn’t have enough money for it.","Lobbying government officials,Write a letter to the editor,Social media for digital advocacy","Write a letter to the editor,A letter to a government official",Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Bring a variety of cookies because not everyone likes chocolate chip cookies ," I was required to take it, but I chose the class with the town hall meeting requirement because I found it more interesting when courses in engage with unique ideas like these. Participation in these events helps me get more engage in the course more and made me more interested in how I can engage in the community for a cause I believe in.
"
