Column,Missing_Count,Missing_Percent
Learning_Symposium_Other,319,95.22
Learning_Breakout_Other,316,94.33
ActionStations_Wanted,68,20.3
Connection_After,21,6.27
Connection_After_Num,21,6.27
Learning_Breakout,19,5.67
ChangeConfidence_After_Num,15,4.48
ChangeConfidence_After,15,4.48
AcademicConfidence_After,15,4.48
AcademicConfidence_After_Num,15,4.48
Learning_Symposium,13,3.88
ChangeConfidence_Before,13,3.88
AcademicConfidence_Before_Num,13,3.88
AcademicConfidence_Before,13,3.88
ChangeConfidence_Before_Num,13,3.88
Connection_Before_Num,12,3.58
Connection_Before,12,3.58
LocationLatitude,10,2.99
LocationLongitude,10,2.99
ActionStations_Chosen,7,2.09
Q_Participation_Num,6,1.79
Q_Recommend_Num,6,1.79
Q_DiscussionBalance_Num,6,1.79
Q_Recommend,6,1.79
Q_ConsultantContribution_Num,6,1.79
Q_Participation,6,1.79
Q_ConsultantContribution,6,1.79
Q_DiscussionBalance,6,1.79
Q_ModeratorSupport,5,1.49
Q_CommunityInvolvement_Num,5,1.49
Q_StudentPrep,5,1.49
Q_CommunityInvolvement,5,1.49
Q_RoomSize,5,1.49
Q_ModeratorSupport_Num,5,1.49
Q_StudentPrep_Num,5,1.49
Q_RoomSize_Num,5,1.49
PolicyArea,1,0.3
