StudentID,StartDate,EndDate,RecordedDate,Duration,Progress,Finished,Status,LocationLatitude,LocationLongitude,PolicyArea,Q_ModeratorSupport,Q_StudentPrep,Q_Participation,Q_ConsultantContribution,Q_DiscussionBalance,Q_CommunityInvolvement,Q_RoomSize,Q_Recommend,Learning_Breakout,Learning_Breakout_Other,Learning_Symposium,Learning_Symposium_Other,ActionStations_Chosen,ActionStations_Wanted,Connection_Before,Connection_After,AcademicConfidence_Before,AcademicConfidence_After,ChangeConfidence_Before,ChangeConfidence_After,Quality_Flag,Missing_Count,Q_ModeratorSupport_Num,Q_StudentPrep_Num,Q_Participation_Num,Q_ConsultantContribution_Num,Q_DiscussionBalance_Num,Q_CommunityInvolvement_Num,Q_RoomSize_Num,Q_Recommend_Num,Connection_Before_Num,Connection_After_Num,AcademicConfidence_Before_Num,AcademicConfidence_After_Num,ChangeConfidence_Before_Num,ChangeConfidence_After_Num
11808655,11/2/2023 22:01,11/2/2023 22:02,11/2/2023 22:02,95,100,TRUE,IP Address,38.581,-121.4939,Healthcare Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I learned a lot about my policy topic this semester.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Elect supportive public officials,Organize a public demonstration",Social media for digital advocacy,Strongly Agree,,Agree,,Agree,Strongly Agree,Rushed,2,5,5,5,5,5,5,5,5,5,,4,,4,5
12025105,11/2/2023 22:04,11/2/2023 22:08,11/2/2023 22:08,226,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Elect supportive public officials,Organize a public demonstration","Social media for digital advocacy,Petition",Strongly Agree,,Strongly Agree,Agree,Agree,Strongly Agree,Good,1,5,5,5,5,5,5,4,5,5,,5,4,4,5
11868234,11/2/2023 22:11,11/2/2023 22:14,11/2/2023 22:14,182,100,TRUE,IP Address,39.7272,-121.8129,Cost of Living Policy,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,"I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I am capable of creating change in my community.",,"Social media for digital advocacy,Elect supportive public officials,2",Petition,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,4,5,4,5,5,4,4,4,4,4,4,4
11800738,11/2/2023 22:12,11/2/2023 22:15,11/2/2023 22:15,159,100,TRUE,IP Address,39.7362,-121.8378,Criminal Justice Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,"I have ideas that are worth sharing.,I can improve my policy topic solution now that I have more information.,I want to learn more about my policy topic.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Elect supportive public officials,Organize a public demonstration",Petition,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,4,5,5,4,5,4,4,4,5,5
11826166,11/2/2023 22:11,11/2/2023 22:16,11/2/2023 22:16,252,100,TRUE,IP Address,38.581,-121.4939,Climate Change Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"I have ideas that are worth sharing.,I learned a lot about my policy topic this semester.",,"I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Petition,Organize a public demonstration",Lobby government officials,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,4,5,5,5,4,4,4,4,4,4,4,4
11922236,11/2/2023 22:13,11/2/2023 22:16,11/2/2023 22:16,204,100,TRUE,IP Address,39.7272,-121.8129,Drug Policy,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,"I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Elect supportive public officials,2",,Disagree,Disagree,Agree,Agree,Agree,Agree,Good,0,4,4,4,5,4,4,4,2,2,2,4,4,4,4
8300098,11/2/2023 22:13,11/2/2023 22:17,11/2/2023 22:17,194,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"I have ideas that are worth sharing.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Organize a public demonstration,2",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,4,5,5,5,4,4,4,4,4,4,4,4
11518820,11/2/2023 22:15,11/2/2023 22:17,11/2/2023 22:17,99,100,TRUE,IP Address,39.7362,-121.8378,Climate Change Policy,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,I learned a lot about my policy topic this semester.,,I am a member of the city of Chico community.,,"Lobby government officials,Petition,Elect supportive public officials",,Agree,Agree,Agree,Agree,Agree,Agree,Rushed,0,4,4,4,4,2,4,4,4,4,4,4,4,4,4
11004501,11/2/2023 22:12,11/2/2023 22:17,11/2/2023 22:17,269,100,TRUE,IP Address,39.8068,-121.867,Firearm Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Petition,2","Social media for digital advocacy,Elect supportive public officials,Write a letter to a government official",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,5,5,5,4,5,5,5,5,5,5
11900006,11/2/2023 22:15,11/2/2023 22:17,11/2/2023 22:17,144,100,TRUE,IP Address,39.7362,-121.8378,Drug Policy,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,I can improve my policy topic solution now that I have more information.,,I am a member of the city of Chico community.,,"Elect supportive public officials,Organize a public demonstration,2",Petition,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Good,0,5,4,5,4,4,5,4,4,4,4,4,4,5,5
