StudentID,StartDate,EndDate,RecordedDate,Duration,Progress,Finished,Status,LocationLatitude,LocationLongitude,Demo_HispanicLatinx,Demo_Race,Demo_Gender,Demo_ParentEducation,PolicyArea,CivicFair_Orgs,CivicFair_OrgsMissed,CivicFair_Learning,CivicFair_Learning_Other,CivicFair_PolicyConnection,CivicFair_CampusUnderstanding,CivicFair_UsedInBreakout,CivicFair_PreparedForBreakout,Breakout_Learning,Breakout_Learning_Other,Breakout_POLSPreparation,Breakout_Participation,Breakout_ConsultantContribution,Breakout_DiscussionBalance,Breakout_CivicFairConnection,Action_StationsChosen,Action_StationsWanted,Action_Learning,Action_Learning_Other,Action_TalkToExperts,Action_ConsultantKnowledge,Action_CivicFairConnection,Action_BreakoutConnection,Overall_Connection_Before,Overall_Connection_After,Overall_AcademicConf_Before,Overall_AcademicConf_After,Overall_ChangeConf_Before,Overall_ChangeConf_After,Recommend,Overall_Feedback,Quality_Flag,Missing_Count,CivicFair_PolicyConnection_Num,CivicFair_CampusUnderstanding_Num,CivicFair_UsedInBreakout_Num,CivicFair_PreparedForBreakout_Num,Breakout_POLSPreparation_Num,Breakout_Participation_Num,Breakout_ConsultantContribution_Num,Breakout_DiscussionBalance_Num,Breakout_CivicFairConnection_Num,Action_TalkToExperts_Num,Action_ConsultantKnowledge_Num,Action_CivicFairConnection_Num,Action_BreakoutConnection_Num,Overall_Connection_Before_Num,Overall_Connection_After_Num,Overall_AcademicConf_Before_Num,Overall_AcademicConf_After_Num,Overall_ChangeConf_Before_Num,Overall_ChangeConf_After_Num,CFL_I_can_get_involved_in_creating_change_by_joining_one_of_the_,CFL_I_can_talk_with_confidence_to_other_students_about_my_topic_,CFL_I_want_to_get_involved_in_creating_change_by_joining_one_of_,CFL_My_policy_topic_is_being_addressed_in_the_wider_Chico_commun,CFL_My_policy_topic_is_being_addressed_on_Chico_States_campus,CFL_Other_people_are_interested_in_my_ideas,BL_I_can_improve_my_policy_topic_solution_now_that_I_have_more_,BL_I_can_talk_about_my_research_with_expertise,BL_I_can_talk_to_experts_about_my_policy_topic_with_confidence,BL_I_have_ideas_that_are_worth_sharing,BL_I_learned_a_lot_about_my_policy_topic_this_semester,BL_I_want_to_learn_more_about_my_policy_topic,BL_Other_people_are_interested_in_my_ideas,ASC_Elect_supportive_public_officials,ASC_Lobby_government_officials,ASC_Organize_a_public_demonstration,ASC_Petition,ASC_Socia_media_for_digital_advocacy,ASC_Write_a_letter_to_a_government_offical,ASW_Elect_supportive_public_officials,ASW_Lobby_government_officials,ASW_Organize_a_public_demonstration,ASW_Petition,ASW_Social_media_for_digital_advocacy,ASW_Write_a_letter_to_a_government_official,AL_I_am_a_member_of_the_city_of_Chico_community,AL_I_am_capable_of_creating_change_in_my_community,AL_I_know_at_least_one_way_to_create_change_in_my_community,AL_I_know_what_kind_of_changes_I_want_to_see_made_in_my_communi,AL_Other_people_want_me_to_be_involved_in_my_community,AL_Participating_in_creating_change_feels_more_possible_after_p
12098282,2024-04-05 14:05:00,2024-04-05 14:33:00,2024-04-05 14:33:00,1690,100,True,IP Address,39.1061,-121.6159,None of these,White,Man,"high school diploma, GED, or alternative credential",Immigration Policy,CLIC and Speech and Debate,"Until the fire alarm was activated, I didn't benefit from speaking with those I visited or who were available to offer any answers about my topic of immigration or provide guidance (direction) to seek more answers.",,too many students in attendance to clearly navigate the topics in an orderly manner.  Became more a distraction than assistance.,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,"I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",There wasn't enough time to explore solutions to my topic.  I would benefit by reducing it to a policy within reach and not placing myself in a position of liability by focussing on the Office of the President.,Agree,Agree,Agree,Agree,Disagree,"Lobby government officials,Petition,Write a letter to a government offical",Social media for digital advocacy,"I know at least one way to create change in my community.,I am capable of creating change in my community.,I know what kind of changes I want to see made in my community.",I learned it isn't always about the party affiliation you identify with to seek assistance.  Address the issue with the rival party because of their bottom line is going to be the need for seeking more votes to obtain the office they run for.,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,"Get there early and ask questions. Forget what you thought you knew and listen to those who do.  Then, compare facts to absorb the correct connotations and how to use your energies more effectively.",Good,0,1,1,2,1,4.0,4.0,4.0,4.0,2.0,4,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False
11959845,2024-04-08 10:43:00,2024-04-08 10:50:00,2024-04-08 10:50:00,413,100,True,IP Address,39.8068,-121.867,None of these,"Asian American,White",Man,less than 1 year of college credit,Reproductive Health Policy,,,My policy topic is being addressed in the wider Chico community.,,Agree,Agree,Strongly Agree,Agree,"I have ideas that are worth sharing.,I can improve my policy topic solution now that I have more information.",,Agree,Agree,Strongly Agree,Agree,Disagree,"Lobby government officials,Socia media for digital advocacy,Petition",,"I know at least one way to create change in my community.,Participating in creating change feels more possible after participating in THM.",,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,Good,0,4,4,5,4,4.0,4.0,5.0,4.0,2.0,2,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4,4.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
11833771,2024-04-08 11:00:00,2024-04-08 11:06:00,2024-04-08 11:06:00,318,100,True,IP Address,39.7362,-121.8378,None of these,White,Woman,less than 1 year of college credit,Healthcare Policy,safe place,no,I can get involved in creating change by joining one of the clubs or organizations I talked to.,,Disagree,Agree,Agree,Agree,"Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Socia media for digital advocacy,Petition,Elect supportive public officials",,I know at least one way to create change in my community.,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,we got to learn new organizations involved in changing our community for the better and use all the research we did all semester.,Good,1,2,4,4,4,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
11926864,2024-04-08 11:01:00,2024-04-08 11:09:00,2024-04-08 11:09:00,452,100,True,IP Address,39.7362,-121.8378,None of these,White,Man,"Bachelor's degree (BA, BS)",Climate Change Policy,"Green Campus Initiative, Office of Graduate Studies.",No,I can get involved in creating change by joining one of the clubs or organizations I talked to.,,Agree,Agree,Strongly Disagree,Agree,"I have ideas that are worth sharing.,I learned a lot about my policy topic this semester.",,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"Lobby government officials,Socia media for digital advocacy,Elect supportive public officials",,"Other people want me to be involved in my community.,I know at least one way to create change in my community.,Participating in creating change feels more possible after participating in THM.,I am capable of creating change in my community.",,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,,Good,0,4,4,1,4,5.0,5.0,5.0,4.0,2.0,5,5.0,2.0,4.0,2.0,5.0,5.0,5.0,4,5.0,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True
12123359,2024-04-08 11:08:00,2024-04-08 11:14:00,2024-04-08 11:14:00,376,100,True,IP Address,39.7362,-121.8378,None of these,White,Woman,less than 1 year of college credit,K-12 & Higher Education Policy,I don't remember,the people talking about master program but then the fire alarm went off,I can talk with confidence to other students about my topic and my ideas.,,Agree,Agree,Disagree,Agree,"Other people are interested in my ideas.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,Disagree,Agree,Agree,Strongly Agree,Agree,"Socia media for digital advocacy,Elect supportive public officials,Organize a public demonstration",,I know what kind of changes I want to see made in my community.,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Yes,It was nice because able to talk to like-minded people who all had the same concerns as I did and made me more knowledgeable about my topic.,Good,0,4,4,2,4,2.0,4.0,4.0,5.0,4.0,2,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4,4.0,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
12125231,2024-04-08 11:07:00,2024-04-08 11:18:00,2024-04-08 11:18:00,682,100,True,IP Address,39.7362,-121.8378,Yes,I would prefer not to answer,Man,no high school diploma,Homelessness Policy,"I went to every booth at the Civic Engagement Fair, but the one I remember at the top of my head is U Matter.","The only booth I didn't get to talk to was CLIC because there was a constant swarm of people, making it hard to talk to them.",Other people are interested in my ideas.,I learned about the different organizations trying to make a difference.,Agree,Disagree,Disagree,Disagree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",I learned so many different perspectives and different ideas from other students.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Lobby government officials,"Elect supportive public officials,Write a letter to a government official","I am a member of the city of Chico community.,I know at least one way to create change in my community.",,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,I met many new people who had a solution to making a difference by ending homelessness.,Good,0,4,2,2,2,5.0,5.0,5.0,5.0,1.0,4,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4,4.0,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False
11978201,2024-04-08 11:18:00,2024-04-08 11:39:00,2024-04-08 11:39:00,1241,100,True,IP Address,38.5879,-121.4053,None of these,White,Woman,"Bachelor's degree (BA, BS)",Immigration Policy,,,I can talk with confidence to other students about my topic and my ideas.,,Disagree,Disagree,Strongly Disagree,Strongly Disagree,"Other people are interested in my ideas.,I can talk about my research with expertise.",,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,"Lobby government officials,Socia media for digital advocacy,Petition",,I know at least one way to create change in my community.,,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,No,"There are three parts to the Town Hall meeting. 

The first part was the Civic Engagement and it was not well run/managed. There were 400 people told to roam around in a small area and find a booth that fit our policy topic. There was no booth that I saw that really fit my topic so I asked to help desk. They told me what booth to go to, but because it was not well run/managed there was just a mob of people around this one booth run by one girl and when I asked about my policy topic she said it was not in her realm of expertise and she could not speak to it. So on my sheet, I just had to write down N/A.

The second part was the Break Out Rooms where we met with people of like topic. I finished at the Civic Engagement early apparently because I was the first one in the room by about 15 minutes. Then when everyone got there and began to talk about their more narrow topic we discovered that all of our topics for the most part were different. So the first break out was the whole class and for the most part, it was one student and the ""expert"" talking/arguing back and forth. The second breakout did not go much better. The mediator and the experts were supposed to bounce around and make sure the groups stayed on topic but no one really talked to my group and no one in my group would say anything of substance. They would make generalized statements that no one can disagree with like ""human trafficking and drugs are bad so we need more border security"". That's great but then no one would offer up how to increase border security in a good way and anytime I tried the topic would change to another broad sweeping statement.

The final part was trying to get students aware of how they could enact change in the community. This was done fairly well, I don't really know how I would have done it differently so that was probably the best part of the night for me. It was somewhat useful information and since the groups were split between Colusa and the Library then I was actually able to have a conversation and learn something.",Good,0,2,2,1,1,5.0,5.0,4.0,4.0,1.0,4,4.0,1.0,2.0,2.0,2.0,4.0,4.0,4,4.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
12266164,2024-04-08 14:42:00,2024-04-08 14:55:00,2024-04-08 14:55:00,808,100,True,IP Address,39.7362,-121.8378,None of these,White,Man,"high school diploma, GED, or alternative credential",K-12 & Higher Education Policy,First-Year Experience and another organization whose name I don't recall that offers information about graduate programs.,No.,,"The fair did not seem to include many, if any, organizations that pertained to my specific policy topic.",Disagree,Strongly Disagree,Strongly Disagree,Disagree,I can talk to experts about my policy topic with confidence.,Well-organized and properly moderated discussions can lead to excellent conversations with other people in your area of interest/research.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Lobby government officials,Organize a public demonstration,,,Agree,,,,Strongly Agree,Agree,,,Strongly Agree,Agree,Yes,"The Breakout Room discussions were excellent, with well-chosen moderators and experts in the K-12/Higher Education category. The fair and action symposium sections were far less compelling and in-depth, with few, if any, organizations that had much of impact to say about my chosen topic.",Good,5,2,1,1,2,4.0,4.0,5.0,5.0,1.0,4,,,,5.0,4.0,,,5,4.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12091288,2024-04-08 23:13:00,2024-04-08 23:19:00,2024-04-08 23:19:00,340,100,True,IP Address,39.7272,-121.8129,Yes,I would prefer not to answer,Man,"Associates degree (AA, AS)",Cost of Living Policy,CLIC,,"My policy topic is being addressed in the wider Chico community.,I want to get involved in creating change by joining one of the clubs or organizations I talked to.",,Disagree,Agree,Disagree,Agree,"I have ideas that are worth sharing.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.",,Strongly Agree,Agree,Agree,Agree,Agree,"Socia media for digital advocacy,Petition,Write a letter to a government offical",Lobby government officials,"I know at least one way to create change in my community.,Participating in creating change feels more possible after participating in THM.,I know what kind of changes I want to see made in my community.",,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,The Town Hall Meeting is really great when it comes to learning about your policy. I actually enjoyed what others in my breakout room had to say about the policy that I was focus on.,Good,0,2,4,2,4,5.0,4.0,4.0,4.0,4.0,5,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4,5.0,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True
11917855,2024-04-09 10:49:00,2024-04-09 10:56:00,2024-04-09 10:56:00,416,100,True,IP Address,39.7272,-121.8129,None of these,American Indian or Alaska Native,Man,"Bachelor's degree (BA, BS)",Drug Policy,Fire alarm,No,I can talk with confidence to other students about my topic and my ideas.,,Disagree,Agree,Disagree,Strongly Agree,I have ideas that are worth sharing.,N/a,Agree,Agree,Agree,Disagree,Disagree,"Lobby government officials,Socia media for digital advocacy,Elect supportive public officials",Petition,I am a member of the city of Chico community.,No,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Long,Good,0,2,4,2,5,4.0,4.0,4.0,2.0,2.0,4,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
