Column,Missing_Count,Missing_Percent
Action_Learning_Other,56,90.32
CivicFair_Learning_Other,51,82.26
Breakout_Learning_Other,49,79.03
Action_StationsWanted,20,32.26
Overall_Feedback,12,19.35
CivicFair_OrgsMissed,9,14.52
CivicFair_Orgs,6,9.68
Action_Learning,4,6.45
Demo_Race,3,4.84
CivicFair_Learning,2,3.23
Breakout_Participation_Num,2,3.23
Breakout_Participation,2,3.23
Overall_AcademicConf_After,2,3.23
Overall_ChangeConf_After,2,3.23
Overall_AcademicConf_After_Num,2,3.23
Overall_ChangeConf_After_Num,2,3.23
Breakout_Learning,1,1.61
Breakout_CivicFairConnection,1,1.61
Action_StationsChosen,1,1.61
Breakout_DiscussionBalance,1,1.61
Breakout_ConsultantContribution,1,1.61
Breakout_POLSPreparation,1,1.61
Overall_AcademicConf_Before,1,1.61
Overall_Connection_After,1,1.61
Overall_Connection_Before,1,1.61
Action_BreakoutConnection,1,1.61
Action_CivicFairConnection,1,1.61
Action_ConsultantKnowledge,1,1.61
Breakout_POLSPreparation_Num,1,1.61
Breakout_ConsultantContribution_Num,1,1.61
Breakout_CivicFairConnection_Num,1,1.61
Breakout_DiscussionBalance_Num,1,1.61
Action_ConsultantKnowledge_Num,1,1.61
Action_CivicFairConnection_Num,1,1.61
Overall_Connection_Before_Num,1,1.61
Action_BreakoutConnection_Num,1,1.61
Overall_AcademicConf_Before_Num,1,1.61
Overall_Connection_After_Num,1,1.61
